Time,Scheduled,Crawled
380.71156644821167,112189,663
381.2480311393738,112431,664
381.38695549964905,112431,665
383.2657539844513,112792,666
383.36034774780273,112792,667
383.3944845199585,112792,668
383.4338676929474,112792,669
383.5233917236328,112792,670
383.80989813804626,112836,671
384.1260917186737,113160,672
384.21333718299866,113160,673
386.8834137916565,118228,674
387.9027018547058,118231,675
388.22736382484436,118490,676
388.45250415802,118677,677
388.5792317390442,118677,678
388.6499800682068,118677,679
388.69685769081116,118677,680
388.76130867004395,118692,681
388.8588824272156,118693,682
389.40762877464294,118693,683
390.2623610496521,119286,684
391.0471918582916,119656,685
391.4428231716156,119656,686
392.29880571365356,119919,687
393.0980067253113,120049,688
395.8417911529541,120049,689
396.15452337265015,120065,690
397.21488213539124,120070,691
400.62757658958435,120070,692
401.3754417896271,120070,693
403.5054109096527,120070,694
406.74227142333984,120473,695
409.6266350746155,120473,696
410.03541445732117,120473,697
411.656103849411,120722,698
413.8147027492523,120722,699
416.213742017746,120722,700
416.541659116745,120722,701
419.53358721733093,120722,702
422.05031967163086,120984,703
428.18851923942566,124331,704
428.3930206298828,124331,705
428.68147325515747,124331,706
428.9087953567505,124331,707
429.6311731338501,124450,708
430.7033770084381,124450,709
431.2624406814575,124450,710
431.5007293224335,124450,711
431.9603419303894,124553,712
433.2650854587555,124553,713
433.9908220767975,124570,714
435.4132776260376,124570,715
435.9400110244751,124570,716
436.8728003501892,124803,717
437.8781020641327,124803,718
440.03978204727173,124803,719
440.26070642471313,124803,720
440.96360659599304,124803,721
441.22276639938354,124803,722
443.58911657333374,124819,723
445.98566126823425,125097,724
448.7213685512543,125264,725
448.8381748199463,125264,726
448.98167610168457,125264,727
449.24532079696655,125264,728
449.69965076446533,125264,729
450.04160165786743,125264,730
450.53856587409973,125264,731
452.82536268234253,125584,732
455.5486261844635,128689,733
455.641948223114,128708,734
455.6765058040619,128708,735
455.99000573158264,128708,736
456.05048084259033,128708,737
456.1250720024109,128733,738
456.1629023551941,128733,739
456.533150434494,128762,740
456.6646592617035,128791,741
456.7541353702545,128811,742
456.87120819091797,128811,743
457.6232109069824,128811,744
457.67223072052,128811,745
457.7196407318115,128811,746
457.77122020721436,128822,747
458.24054193496704,128975,748
458.347261428833,128975,749
458.854679107666,129113,750
459.2168040275574,129113,751
459.2595114707947,129113,752
459.30696058273315,129113,753
459.37236046791077,129121,754
459.4376516342163,129121,755
459.5631229877472,129182,756
460.28322768211365,129452,757
462.7120282649994,129452,758
463.137300491333,129452,759
463.7854483127594,129452,760
463.8255944252014,129452,761
463.8884086608887,129452,762
464.1571202278137,129452,763
468.2928948402405,131977,764
468.52426314353943,131994,765
469.6115131378174,132016,766
469.77087235450745,132016,767
470.19238781929016,132067,768
470.31572556495667,132067,769
470.4955458641052,132067,770
470.63010025024414,132067,771
472.1357319355011,132067,772
472.2499952316284,132067,773
472.33370542526245,132067,774
472.4567003250122,132107,775
473.08177495002747,132272,776
473.17214250564575,132272,777
473.4800043106079,132272,778
473.57267332077026,132272,779
474.057412147522,132299,780
474.1564087867737,132299,781
474.40411949157715,132448,782
474.8855679035187,132448,783
476.2695438861847,132599,784
477.44741201400757,132599,785
477.5344159603119,132599,786
477.61870431900024,132599,787
477.96904468536377,132599,788
478.70755434036255,132908,789
478.8205635547638,132908,790
479.420015335083,132911,791
479.9015552997589,133177,792
479.9582612514496,133177,793
480.18482756614685,133177,794
480.3114399909973,133177,795
480.6162073612213,133177,796
481.2549731731415,133399,797
482.0369153022766,133399,798
482.3245213031769,133399,799
483.2997145652771,133685,800
485.1116347312927,133685,801
487.3417639732361,133685,802
489.20526218414307,133685,803
490.43483996391296,133691,804
493.3225431442261,134103,805
493.5562427043915,134103,806
494.6406285762787,134103,807
495.7795133590698,134655,808
496.74722123146057,134655,809
496.95418310165405,134691,810
498.53773856163025,134691,811
498.95156836509705,134691,812
499.52588152885437,135351,813
499.6122646331787,135351,814
499.71430802345276,135351,815
500.66097021102905,135915,816
500.7334940433502,135915,817
500.9201307296753,135915,818
501.89838790893555,135915,819
503.52589893341064,135915,820
503.8461284637451,136561,821
503.92378330230713,136561,822
505.03625750541687,137338,823
507.6236021518707,141831,824
507.86042761802673,142138,825
508.441819190979,142400,826
508.73483204841614,142400,827
510.071165561676,142400,828
510.76117634773254,142517,829
511.95389437675476,142517,830
512.186665058136,142517,831
512.3830697536469,142643,832
513.2278354167938,142827,833
514.4462611675262,142827,834
514.5386352539062,142827,835
514.6309552192688,142827,836
514.8158385753632,142827,837
514.9757914543152,142827,838
515.0103101730347,142827,839
515.9730896949768,143574,840
517.0407226085663,143574,841
517.222852230072,143574,842
517.4261643886566,143574,843
517.5019736289978,143574,844
517.7005062103271,143574,845
517.9063050746918,143574,846
519.3329293727875,143801,847
519.6246073246002,144177,848
519.8219034671783,144177,849
523.750702381134,144657,850
526.1249048709869,144657,851
526.6345708370209,144657,852
526.7644982337952,144657,853
526.8201744556427,144657,854
526.9461307525635,144657,855
529.0078430175781,145053,856
529.1722402572632,145053,857
530.4490230083466,145486,858
530.8868839740753,145486,859
531.0507664680481,145486,860
531.4763119220734,145486,861
532.027578830719,145486,862
533.3799870014191,146156,863
533.4469227790833,146156,864
533.5147936344147,146156,865
535.259712934494,146756,866
535.340803861618,146756,867
535.5915772914886,146756,868
535.6500208377838,146756,869
535.7030982971191,146756,870
536.1457319259644,147369,871
536.1886510848999,147369,872
536.2335348129272,147369,873
538.2272346019745,150452,874
538.3034274578094,150468,875
538.457364320755,150468,876
538.5329728126526,150468,877
538.6507048606873,150515,878
538.7317872047424,150515,879
539.3367552757263,150812,880
539.5374710559845,150812,881
539.7402641773224,151030,882
540.5105319023132,151376,883
540.5871696472168,151376,884
540.7236595153809,151376,885
540.8127789497375,151376,886
540.9346222877502,151376,887
541.0546896457672,151376,888
541.1550652980804,151376,889
541.5890765190125,151736,890
542.4263224601746,152103,891
543.0932893753052,152103,892
543.2874531745911,152103,893
543.3632559776306,152103,894
543.4828248023987,152103,895
543.9268884658813,152491,896
544.0460529327393,152491,897
544.3354713916779,152491,898
546.3108658790588,153066,899
546.4151363372803,153066,900
546.5420203208923,153066,901
546.8211917877197,153066,902
547.1405258178711,153502,903
547.1947019100189,153502,904
547.3552691936493,153502,905
547.5749917030334,153502,906
549.0246584415436,153893,907
549.2452943325043,153893,908
549.4690380096436,153893,909
549.6333529949188,153926,910
550.0367875099182,154174,911
550.3204703330994,154174,912
550.4745755195618,154174,913
550.671870470047,154174,914
552.3460078239441,154873,915
552.5329313278198,154873,916
552.5811192989349,154873,917
552.7046825885773,154873,918
552.739660024643,154873,919
552.8257973194122,154873,920
552.9956555366516,154873,921
553.9936654567719,155640,922
554.1438856124878,155640,923
554.3272440433502,155640,924
554.4207398891449,155640,925
554.5266463756561,155640,926
554.701014995575,155640,927
554.9375936985016,155640,928
557.1174929141998,156197,929
558.4813642501831,156740,930
558.9093849658966,156740,931
559.0758187770844,156740,932
559.7385129928589,157252,933
559.7959110736847,157252,934
560.654308795929,157252,935
560.7234728336334,157252,936
560.8096699714661,157252,937
562.4178102016449,159031,938
562.6470453739166,159073,939
562.9075734615326,159073,940
563.3589012622833,159073,941
563.5242049694061,159073,942
563.7361946105957,159096,943
564.0970454216003,159096,944
565.4155616760254,159346,945
566.2540853023529,159513,946
566.3548924922943,159513,947
567.0910003185272,159729,948
567.2570226192474,159729,949
567.2983911037445,159729,950
567.4181032180786,159729,951
567.47589635849,159729,952
567.5935232639313,159729,953
568.3480932712555,160232,954
569.5616285800934,160268,955
569.6215667724609,160268,956
569.7176666259766,160268,957
569.8465869426727,160268,958
569.9587323665619,160268,959
569.999133348465,160268,960
570.5221946239471,160827,961
570.7800862789154,161244,962
571.0920946598053,161244,963
575.627336025238,161244,964
575.8088347911835,161244,965
576.4868800640106,161853,966
576.915834903717,161853,967
576.9923632144928,161858,968
580.9279284477234,161858,969
581.475222826004,163025,970
581.9426093101501,163025,971
582.1722073554993,163025,972
